benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage
ibm01,m3c-default,m3b_c30_0_52_166_centroid_shift,m3b_cluster_refinement,True,False,True,False,True,scored,1.0384210348129272,,True,True,False,b88c29f2,5
ibm01,m3c-default,original_line_search_m215_scale2p5x,original_line_search,True,False,True,False,True,scored,1.03843092918396,-7.575004577636719,False,True,False,6fbb7b99,3
ibm01,m3c-default,m3a_p0_0_166_centroid_shift,m3a_pair_refinement,True,False,True,False,True,scored,1.0384329557418823,,False,True,False,3b465287,4
ibm01,m3c-default,original_refinement_m215_scale2x,original_refinement,True,False,True,False,True,scored,1.038435459136963,-6.059989929199219,False,True,False,007d0d86,2
ibm01,m3c-default,original_refinement_m215_tiny0p5um_m1_p0,original_refinement,True,False,True,False,True,scored,1.038435697555542,-6.0,False,True,False,ea712a12,2
ibm01,m3c-default,original_line_search_m215_scale1p25x,original_line_search,True,False,True,False,True,scored,1.038456916809082,-3.7874908447265625,False,True,False,4b098b61,3
ibm01,m3c-default,original_neighborhood_m215_left_s,original_neighborhood,True,False,True,False,True,scored,1.038459300994873,-3.0300064086914062,False,True,False,19514967,1
ibm01,m3c-default,m3a_p0_0_166_swap,m3a_pair_refinement,True,False,True,False,True,scored,1.038464903831482,,False,True,False,3c5f1da3,4
ibm01,m3c-default,original_neighborhood_m215_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.0384721755981445,-4.126922607421875,False,True,False,6282cc49,1
ibm01,m3c-default,original_line_search_m22_scale1p5x,original_line_search,True,False,True,False,True,scored,1.0384842157363892,-4.475246429443359,False,True,False,f6b364ad,3
ibm01,m3c-default,m3a_p0_0_166_below,m3a_pair_refinement,True,False,True,False,True,scored,1.0384849309921265,,False,True,False,ffc3ecb7,4
ibm01,m3c-default,original_neighborhood_m22_left_s,original_neighborhood,True,False,True,False,True,scored,1.0384886264801025,-2.9834976196289062,False,True,False,ccfae19a,1
ibm01,m3c-default,original_refinement_m117_tiny0p1um_m1_p0,original_refinement,True,False,True,False,True,scored,1.0384937524795532,-1.3000049591064453,False,True,False,dc2d8a35,2
ibm01,m3c-default,original_refinement_m117_tiny0p05um_m1_p0,original_refinement,True,False,True,False,True,scored,1.038495659828186,-0.6499900817871094,False,True,False,0473ca8e,2
ibm01,m3c-default,original_refinement_m173_tiny0p05um_m1_p0,original_refinement,True,False,True,False,True,scored,1.0384957790374756,-0.5999908447265625,False,True,False,ddf4421e,2
ibm01,m3c-default,original_raw,original,True,False,True,False,True,scored,1.0384976863861084,,False,True,False,168bb848,1
ibm01,m3c-default,original_neighborhood_m215_down_s,original_neighborhood,True,False,True,False,True,scored,1.0385217666625977,-2.764801025390625,False,True,False,852519b7,1
ibm01,m3c-default,original_refinement_m117_scale0p25x,original_refinement,True,False,True,False,True,scored,1.0385379791259766,-1.13702392578125,False,True,False,588e263e,2
ibm01,m3c-default,original_refinement_m215_tiny0p5um_p0_m1,original_refinement,True,False,True,False,True,scored,1.0386070013046265,-5.839996337890625,False,True,False,26043772,2
ibm01,m3c-default,m3a_p6_10_63_swap,m3a_pair_refinement,True,False,True,False,True,scored,1.0387890338897705,,False,True,False,ee8ca027,4
ibm01,m3c-default,m3a_p5_9_42_right,m3a_pair_refinement,True,False,True,False,True,scored,1.041245460510254,,False,True,False,d0606ccf,4
ibm01,m3c-default,original_refinement_m243_grid_p0_p1,original_refinement,True,False,True,False,True,scored,1.0514413118362427,-25.467365264892578,False,True,False,8328f762,2
ibm01,m3c-default,original_neighborhood_m243_up_s,original_neighborhood,True,False,True,False,True,scored,1.055680751800537,-30.71999740600586,False,True,False,0d059148,1
ibm01,m3c-default,original_refinement_m243_scale1p5x,original_refinement,True,False,True,False,True,scored,1.1204311847686768,-57.25388813018799,False,True,False,34b31537,2
ibm01,m3c-default,original_neighborhood_m150_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1348772048950195,-3.8581275939941406,False,True,False,ef244fd4,1
ibm01,m3c-default,original_line_search_m215_scale3x,original_line_search,True,False,True,False,True,scored,1.1395759582519531,-9.079095840454102,False,True,False,711441ae,3
ibm01,m3c-default,original_neighborhood_m30_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1397356986999512,-2.9083709716796875,False,True,False,97eafb5b,1
ibm01,m3c-default,original_refinement_m173_scale2x,original_refinement,True,False,True,False,True,scored,1.140441656112671,-8.076818466186523,False,True,False,56cedefe,2
ibm01,m3c-default,original_refinement_m173_scale1p5x,original_refinement,True,False,True,False,True,scored,1.140447974205017,-6.10853385925293,False,True,False,2610804e,2
ibm01,m3c-default,original_neighborhood_m173_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1404544115066528,-4.109973907470703,False,True,False,84665c2b,1
