benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage,generated,region_id,region_signature,moved_macro_ids,move_type,legalization_status,legalization_failure_reason,pre_legalization_approx_delta,post_legalization_approx_delta,legalization_displacement_max,legalization_displacement_mean
ibm01,m4b-default,m3b_c30_0_52_166_centroid_shift,m3b_cluster_refinement,True,False,True,False,True,scored,1.0384210348129272,,True,True,False,b88c29f2,5,True,,,,centroid_shift,,,,,,
ibm01,m4b-default,original_line_search_m215_scale2p5x,original_line_search,True,False,True,False,True,scored,1.03843092918396,-7.575004577636719,False,True,False,6fbb7b99,3,True,,,,,,,,,,
ibm01,m4b-default,m3a_p0_0_166_centroid_shift,m3a_pair_refinement,True,False,True,False,True,scored,1.0384329557418823,,False,True,False,3b465287,4,True,,,,centroid_shift,,,,,,
ibm01,m4b-default,original_refinement_m215_scale2x,original_refinement,True,False,True,False,True,scored,1.038435459136963,-6.059989929199219,False,True,False,007d0d86,2,True,,,,,,,,,,
ibm01,m4b-default,original_refinement_m215_tiny0p5um_m1_p0,original_refinement,True,False,True,False,True,scored,1.038435697555542,-6.0,False,True,False,ea712a12,2,True,,,,,,,,,,
ibm01,m4b-default,original_line_search_m215_scale1p25x,original_line_search,True,False,True,False,True,scored,1.038456916809082,-3.7874908447265625,False,True,False,4b098b61,3,True,,,,,,,,,,
ibm01,m4b-default,original_neighborhood_m215_left_s,original_neighborhood,True,False,True,False,True,scored,1.038459300994873,-3.0300064086914062,False,True,False,19514967,1,True,,,,left_s,,,,,,
ibm01,m4b-default,m3a_p0_0_166_swap,m3a_pair_refinement,True,False,True,False,True,scored,1.038464903831482,,False,True,False,3c5f1da3,4,True,,,,swap,,,,,,
ibm01,m4b-default,original_neighborhood_m215_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.0384721755981445,-4.126922607421875,False,True,False,6282cc49,1,True,,,,toward_centroid,,,,,,
ibm01,m4b-default,original_line_search_m22_scale1p5x,original_line_search,True,False,True,False,True,scored,1.0384842157363892,-4.475246429443359,False,True,False,f6b364ad,3,True,,,,,,,,,,
ibm01,m4b-default,m3a_p0_0_166_below,m3a_pair_refinement,True,False,True,False,True,scored,1.0384849309921265,,False,True,False,ffc3ecb7,4,True,,,,below,,,,,,
ibm01,m4b-default,original_neighborhood_m22_left_s,original_neighborhood,True,False,True,False,True,scored,1.0384886264801025,-2.9834976196289062,False,True,False,ccfae19a,1,True,,,,left_s,,,,,,
ibm01,m4b-default,original_refinement_m117_tiny0p1um_m1_p0,original_refinement,True,False,True,False,True,scored,1.0384937524795532,-1.3000049591064453,False,True,False,dc2d8a35,2,True,,,,,,,,,,
ibm01,m4b-default,original_refinement_m117_tiny0p05um_m1_p0,original_refinement,True,False,True,False,True,scored,1.038495659828186,-0.6499900817871094,False,True,False,0473ca8e,2,True,,,,,,,,,,
ibm01,m4b-default,original_refinement_m173_tiny0p05um_m1_p0,original_refinement,True,False,True,False,True,scored,1.0384957790374756,-0.5999908447265625,False,True,False,ddf4421e,2,True,,,,,,,,,,
ibm01,m4b-default,original_raw,original,True,False,True,False,True,scored,1.0384976863861084,,False,True,False,168bb848,1,True,,,,,,,,,,
ibm01,m4b-default,original_neighborhood_m215_down_s,original_neighborhood,True,False,True,False,True,scored,1.0385217666625977,-2.764801025390625,False,True,False,852519b7,1,True,,,,down_s,,,,,,
ibm01,m4b-default,original_refinement_m117_scale0p25x,original_refinement,True,False,True,False,True,scored,1.0385379791259766,-1.13702392578125,False,True,False,588e263e,2,True,,,,,,,,,,
ibm01,m4b-default,m4b_r0_m9_m105_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.038587212562561,25.16362428665161,False,True,False,9d814efb,6,True,0,1d09ca12,"[9, 105]",centroid_shift,legalized,,4.648130893707275,25.16362428665161,2.0,2.0
ibm01,m4b-default,original_refinement_m215_tiny0p5um_p0_m1,original_refinement,True,False,True,False,True,scored,1.0386070013046265,-5.839996337890625,False,True,False,26043772,2,True,,,,,,,,,,
ibm01,m4b-default,m4b_r0_m9_m105_spread,m4b_region_repair,True,False,True,False,True,scored,1.0387532711029053,27.225060999393463,False,True,False,87613396,6,True,0,1d09ca12,"[9, 105]",spread,legalized,,1.3544254899024963,27.225060999393463,2.5,2.5
ibm01,m4b-default,m3a_p6_10_63_swap,m3a_pair_refinement,True,False,True,False,True,scored,1.0387890338897705,,False,True,False,ee8ca027,4,True,,,,swap,,,,,,
ibm01,m4b-default,m4b_r0_m9_m207_spread,m4b_region_repair,True,False,True,False,True,scored,1.038841724395752,0.19542741775512695,False,True,False,5b9a7c53,6,True,0,1d09ca12,"[9, 207]",spread,legalized,,0.19542741775512695,0.19542741775512695,0.0,0.0
ibm01,m4b-default,m4b_r0_m9_m187_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0388877391815186,3.0335209369659424,False,True,False,2f3fd1a1,6,True,0,1d09ca12,"[9, 187]",centroid_shift,legalized,,3.0335209369659424,3.0335209369659424,0.0,0.0
ibm01,m4b-default,m4b_r0_m9_m46_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.038888931274414,3.4324607849121094,False,True,False,e3e0369f,6,True,0,1d09ca12,"[9, 46]",centroid_shift,legalized,,3.4324607849121094,3.4324607849121094,0.0,0.0
ibm01,m4b-default,m4b_r0_m9_m207_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.038889765739441,3.7032432556152344,False,True,False,a74fdf74,6,True,0,1d09ca12,"[9, 207]",centroid_shift,legalized,,3.7032432556152344,3.7032432556152344,0.34052810072898865,0.34052810072898865
ibm01,m4b-default,m4b_r0_m9_m139_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0389374494552612,16.39188051223755,False,True,False,c8fe33d3,6,True,0,1d09ca12,"[9, 139]",centroid_shift,legalized,,2.981137752532959,16.39188051223755,1.5811388300841898,1.5811388300841898
ibm01,m4b-default,m4b_r0_m9_m14_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0389518737792969,31.009321212768555,False,True,False,57692d3f,6,True,0,1d09ca12,"[9, 14]",centroid_shift,legalized,,4.6675403118133545,31.009321212768555,2.23606797749979,2.23606797749979
ibm01,m4b-default,m4b_r0_m9_m13_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0389760732650757,23.86066770553589,False,True,False,d64a6a92,6,True,0,1d09ca12,"[9, 13]",centroid_shift,legalized,,4.254916667938232,23.86066770553589,2.0,2.0
ibm01,m4b-default,m4b_r0_m9_m14_spread,m4b_region_repair,True,False,True,False,True,scored,1.039093017578125,18.13545298576355,False,True,False,2ec22c9f,6,True,0,1d09ca12,"[9, 14]",spread,legalized,,1.2953064441680908,18.13545298576355,2.0,2.0
ibm01,m4b-default,m4b_r0_m9_m139_spread,m4b_region_repair,True,False,True,False,True,scored,1.0391383171081543,12.109593391418457,False,True,False,d6c4a8fd,6,True,0,1d09ca12,"[9, 139]",spread,legalized,,1.8223085403442383,12.109593391418457,1.5811388300841898,1.5811388300841898
ibm01,m4b-default,m4b_r0_m9_m46_spread,m4b_region_repair,True,False,True,False,True,scored,1.0392197370529175,3.2449045181274414,False,True,False,5919cd2f,6,True,0,1d09ca12,"[9, 46]",spread,legalized,,-3.0123958587646484,3.2449045181274414,0.5,0.5
ibm01,m4b-default,m4b_r0_m9_m13_spread,m4b_region_repair,True,False,True,False,True,scored,1.0394166707992554,25.13986587524414,False,True,False,96a790fe,6,True,0,1d09ca12,"[9, 13]",spread,legalized,,2.1435699462890625,25.13986587524414,2.5,2.5
ibm01,m4b-default,m4b_r0_m9_m187_spread,m4b_region_repair,True,False,True,False,True,scored,1.0397229194641113,5.19294548034668,False,True,False,cacc4ec5,6,True,0,1d09ca12,"[9, 187]",spread,legalized,,-1.1600022315979004,5.19294548034668,0.5,0.5
ibm01,m4b-default,m4b_r1_m24_m59_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0401654243469238,4.405138731002808,False,True,False,23b96553,6,True,1,4e9ef60b,"[24, 59]",centroid_shift,legalized,,-0.3267488479614258,4.405138731002808,2.0,2.0
ibm01,m4b-default,m4b_r1_m24_m75_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0401678085327148,5.174946695566177,False,True,False,984b998d,6,True,1,4e9ef60b,"[24, 75]",centroid_shift,legalized,,-0.9678447246551514,5.174946695566177,2.0,1.1778547316789627
ibm01,m4b-default,m4b_r0_m9_m128_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0405020713806152,17.655695915222168,False,True,False,d5257fa0,6,True,0,1d09ca12,"[9, 128]",centroid_shift,legalized,,4.177725791931152,17.655695915222168,1.5811388300841898,1.5811388300841898
ibm01,m4b-default,m3a_p5_9_42_right,m3a_pair_refinement,True,False,True,False,True,scored,1.041245460510254,,False,True,False,d0606ccf,4,True,,,,right,,,,,,
ibm01,m4b-default,m4b_r1_m24_m59_spread,m4b_region_repair,True,False,True,False,True,scored,1.0413691997528076,4.154557943344116,False,True,False,ad2d6932,6,True,1,4e9ef60b,"[24, 59]",spread,legalized,,0.24166584014892578,4.154557943344116,2.1213203435596424,1.8106601717798212
ibm01,m4b-default,m4b_r0_m9_m128_spread,m4b_region_repair,True,False,True,False,True,scored,1.0421918630599976,14.836249113082886,False,True,False,1965f1c0,6,True,0,1d09ca12,"[9, 128]",spread,legalized,,3.1167867183685303,14.836249113082886,2.0,2.0
ibm01,m4b-default,m4b_r1_m24_m75_spread,m4b_region_repair,True,False,True,False,True,scored,1.0422663688659668,5.4085787534713745,False,True,False,55f1828e,6,True,1,4e9ef60b,"[24, 75]",spread,legalized,,0.874947190284729,5.4085787534713745,2.5,1.9571067811865475
ibm01,m4b-default,original_refinement_m243_grid_p0_p1,original_refinement,True,False,True,False,True,scored,1.0514413118362427,-25.467365264892578,False,True,False,8328f762,2,True,,,,,,,,,,
ibm01,m4b-default,original_neighborhood_m243_up_s,original_neighborhood,True,False,True,False,True,scored,1.055680751800537,-30.71999740600586,False,True,False,0d059148,1,True,,,,up_s,,,,,,
ibm01,m4b-default,original_refinement_m243_scale1p5x,original_refinement,True,False,True,False,True,scored,1.1204311847686768,-57.25388813018799,False,True,False,34b31537,2,True,,,,,,,,,,
ibm01,m4b-default,original_neighborhood_m150_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1348772048950195,-3.8581275939941406,False,True,False,ef244fd4,1,True,,,,toward_centroid,,,,,,
ibm01,m4b-default,original_line_search_m215_scale3x,original_line_search,True,False,True,False,True,scored,1.1395759582519531,-9.079095840454102,False,True,False,711441ae,3,True,,,,,,,,,,
ibm01,m4b-default,original_neighborhood_m30_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1397356986999512,-2.9083709716796875,False,True,False,97eafb5b,1,True,,,,toward_centroid,,,,,,
ibm01,m4b-default,original_refinement_m173_scale2x,original_refinement,True,False,True,False,True,scored,1.140441656112671,-8.076818466186523,False,True,False,56cedefe,2,True,,,,,,,,,,
ibm01,m4b-default,original_refinement_m173_scale1p5x,original_refinement,True,False,True,False,True,scored,1.140447974205017,-6.10853385925293,False,True,False,2610804e,2,True,,,,,,,,,,
ibm01,m4b-default,original_neighborhood_m173_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.1404544115066528,-4.109973907470703,False,True,False,84665c2b,1,True,,,,toward_centroid,,,,,,
