benchmark,profile,family,generated_count,valid_count,invalid_count,duplicate_count,admitted_count,not_admitted_count,scored_count,skipped_budget_count,scored_pool_selectable_count,selected_count,selected_via_fallback_count,best_official_cost,best_official_delta_vs_final,median_official_cost,median_official_delta_vs_final,num_beating_final,num_near_tie,best_candidate_name,worst_official_cost,worst_candidate_name,legalized_count,legalization_failed_count,duplicate_after_legalization_count,raw_legalized_rate,adjusted_legalized_rate
ibm01,m4c-default,m3a_pair_refinement,384,40,344,0,349,35,5,0,5,0,0,1.0384329557418823,0.0004659891128540039,1.0384849309921265,0.0005179643630981445,0,0,m3a_p0_0_166_centroid_shift,1.041245460510254,m3a_p5_9_42_right,0,0,0,0.0,0.0
ibm01,m4c-default,m3b_cluster_refinement,96,1,95,0,96,0,1,0,1,0,0,1.0384210348129272,0.0004540681838989258,1.0384210348129272,0.0004540681838989258,0,0,m3b_c30_0_52_166_centroid_shift,1.0384210348129272,m3b_c30_0_52_166_centroid_shift,0,0,0,0.0,0.0
ibm01,m4c-default,m4b_region_repair,130,130,0,0,20,110,20,110,20,1,0,1.0379669666290283,0.0,1.0385288000106812,0.000561833381652832,0,2,m4b_r7_m7_m43_centroid_shift,1.082312822341919,m4b_r2_m19_m243_centroid_shift,130,0,0,1.0,1.0
ibm01,m4c-default,original,2,2,0,1,2,0,1,0,1,0,0,1.0384976863861084,0.0005307197570800781,1.0384976863861084,0.0005307197570800781,0,0,original_raw,1.0384976863861084,original_raw,0,0,0,0.0,0.0
ibm01,m4c-default,original_line_search,20,20,0,6,20,0,6,1,6,0,0,1.03843092918396,0.0004639625549316406,1.0890300869941711,0.05106312036514282,0,0,original_line_search_m215_scale2p5x,1.1407935619354248,original_line_search_m22_scale2x,0,0,0,0.0,0.0
ibm01,m4c-default,original_neighborhood,78,78,0,0,78,0,25,27,25,0,0,1.038459300994873,0.0004923343658447266,1.1407721042633057,0.10280513763427734,0,0,original_neighborhood_m215_left_s,1.172485589981079,original_neighborhood_m243_toward_centroid,0,0,0,0.0,0.0
ibm01,m4c-default,original_refinement,150,150,0,21,150,0,18,108,18,0,0,1.038435459136963,0.0004684925079345703,1.1304364204406738,0.09246945381164551,0,0,original_refinement_m215_scale2x,1.1724739074707031,original_refinement_combo2_m54_m243,0,0,0,0.0,0.0
ibm02,m4c-default,m3a_pair_refinement,384,37,347,0,352,32,5,0,5,0,0,1.5581345558166504,0.0056340694427490234,1.558417797088623,0.00591731071472168,0,0,m3a_p12_238_256_centroid_shift,1.5585545301437378,m3a_p6_120_204_below,0,0,0,0.0,0.0
ibm02,m4c-default,m3b_cluster_refinement,96,11,85,0,90,6,5,0,5,0,0,1.557626485824585,0.005125999450683594,1.5582904815673828,0.005789995193481445,0,0,m3b_c18_51_120_256_centroid_shift,1.5651907920837402,m3b_c20_14_120_126_cyclic,0,0,0,0.0,0.0
ibm02,m4c-default,m4b_region_repair,144,139,5,0,20,124,20,119,20,1,0,1.5525004863739014,0.0,1.5580953359603882,0.005594849586486816,0,1,m4b_r1_m43_m51_spread,1.5729680061340332,m4b_r1_m4_m51_centroid_shift,139,5,0,0.9652777777777778,0.9652777777777778
ibm02,m4c-default,original,2,2,0,1,2,0,1,0,1,0,0,1.5658485889434814,0.013348102569580078,1.5658485889434814,0.013348102569580078,0,0,original_raw,1.5658485889434814,original_raw,0,0,0,0.0,0.0
ibm02,m4c-default,original_line_search,30,30,0,3,30,0,6,1,6,0,0,1.599191665649414,0.046691179275512695,1.6242344975471497,0.07173401117324829,0,0,original_line_search_m122_scale1p5x,1.6517252922058105,original_line_search_m122_scale2x,0,0,0,0.0,0.0
ibm02,m4c-default,original_neighborhood,78,78,0,0,78,0,25,30,25,0,0,1.6077264547348022,0.05522596836090088,1.6356627941131592,0.08316230773925781,0,0,original_neighborhood_m122_right_s,1.663691520690918,original_neighborhood_m51_right_s,0,0,0,0.0,0.0
ibm02,m4c-default,original_refinement,149,149,0,12,149,0,18,119,18,0,0,1.558417558670044,0.005917072296142578,1.6313661336898804,0.078865647315979,0,0,original_refinement_m51_tiny0p5um_p0_p1,1.667011022567749,original_refinement_m263_scale2x,0,0,0,0.0,0.0
ibm03,m4c-default,m3a_pair_refinement,384,51,333,0,338,46,5,0,5,0,0,1.325455665588379,1.1801719665527344e-05,1.32613205909729,0.0006881952285766602,0,0,m3a_p16_5_154_swap,1.403315544128418,m3a_p4_86_224_below,0,0,0,0.0,0.0
ibm03,m4c-default,m3b_cluster_refinement,3,0,3,0,3,0,0,0,0,0,0,,,,,0,0,,,,0,0,0,0.0,0.0
ibm03,m4c-default,m4b_region_repair,128,128,0,0,20,108,20,108,20,1,0,1.3254438638687134,0.0,1.326920747756958,0.001476883888244629,0,1,m4b_r1_m7_m43_centroid_shift,1.668745756149292,m4b_r5_m240_m268_spread,128,0,0,1.0,1.0
ibm03,m4c-default,original,2,2,0,1,2,0,1,0,1,0,0,1.3254859447479248,4.208087921142578e-05,1.3254859447479248,4.208087921142578e-05,0,0,original_raw,1.3254859447479248,original_raw,0,0,0,0.0,0.0
ibm03,m4c-default,original_line_search,20,20,0,2,20,0,4,0,4,0,0,1.3341861963272095,0.008742332458496094,1.340091049671173,0.014647185802459717,0,0,original_line_search_m200_scale1p5x,1.3802170753479004,original_line_search_m224_scale2x,0,0,0,0.0,0.0
ibm03,m4c-default,original_neighborhood,78,78,0,0,78,0,25,31,25,0,0,1.3287794589996338,0.00333559513092041,1.3584473133087158,0.03300344944000244,0,0,original_neighborhood_m200_toward_centroid,1.4129565954208374,original_neighborhood_m240_toward_centroid,0,0,0,0.0,0.0
ibm03,m4c-default,original_refinement,148,148,0,18,148,0,18,96,18,0,0,1.3254570960998535,1.3232231140136719e-05,1.3559412360191345,0.030497372150421143,0,0,original_refinement_m289_tiny0p25um_m1_p0,1.5760338306427002,original_refinement_m240_scale2x,0,0,0,0.0,0.0
