benchmark,profile,candidate_name,family,valid,duplicate,admitted,not_admitted,scored,skip_reason,proxy_cost,approx_delta,is_selected,scored_pool_selectable,selected_via_fallback,placement_hash,source_stage,generated,region_id,region_signature,moved_macro_ids,move_type,legalization_status,legalization_failure_reason,pre_legalization_approx_delta,post_legalization_approx_delta,legalization_displacement_max,legalization_displacement_mean,m4c_rank_score,m4c_rank_bucket,m4c_rank_reason,family_rank,family_normalized_approx_delta,m4d_rank_score,m4d_family_normalized_approx_delta,m4d_cross_family_rank,m4d_rank_reason
ibm01,m4d-default,m4b_r7_m7_m43_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0379669666290283,-4.332376480102539,True,True,False,45a5ff6d,6,True,7,e11bc37f,"[7, 43]",centroid_shift,legalized,,4.191923141479492,-4.332376480102539,0.7071067811865476,0.7071067811865476,0.18689176574433267,ranked,ranked:family_rank=14,14,0.18689176574433267,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r7_m7_m35_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0379688739776611,-4.768732070922852,False,True,False,deb40560,6,True,7,e11bc37f,"[7, 35]",centroid_shift,legalized,,0.9765644073486328,-4.768732070922852,0.7071067811865476,0.5034541738936731,0.18478991412710402,ranked,ranked:family_rank=13,13,0.18478991412710402,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r7_m7_m55_centroid_shift,m4b_region_repair,True,False,True,False,True,scored,1.0381019115447998,-5.881931304931641,False,True,False,b326ee38,6,True,7,e11bc37f,"[7, 55]",centroid_shift,legalized,,1.1180686950683594,-5.881931304931641,0.7071067811865476,0.6035533905932737,0.17942782032213994,ranked,ranked:family_rank=12,12,0.17942782032213994,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r8_m1_m31_spread,m4b_region_repair,True,False,True,False,True,scored,1.0381414890289307,-9.03874683380127,False,True,False,21b9a07d,6,True,8,057217a0,"[1, 31]",spread,legalized,,0.37267494201660156,-9.03874683380127,2.0615528128088303,2.0615528128088303,0.16422196994636376,ranked,ranked:family_rank=6,6,0.16422196994636376,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r7_m7_m21_spread,m4b_region_repair,True,False,True,False,True,scored,1.038344144821167,-6.6537675857543945,False,True,False,89fce683,6,True,7,e11bc37f,"[7, 21]",spread,legalized,,-2.169342041015625,-6.6537675857543945,1.5811388300841898,1.5811388300841898,0.17571001454810764,ranked,ranked:family_rank=10,10,0.17571001454810764,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r7_m7_m35_spread,m4b_region_repair,True,False,True,False,True,scored,1.0383623838424683,-7.944771766662598,False,True,False,96815cde,6,True,7,e11bc37f,"[7, 35]",spread,legalized,,-2.8618946075439453,-7.944771766662598,1.118033988749895,0.5590173412739796,0.16949146416723668,ranked,ranked:family_rank=9,9,0.16949146416723668,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r8_m1_m8_spread,m4b_region_repair,True,False,True,False,True,scored,1.0383721590042114,-11.563464164733887,False,True,False,a5f3dbbc,6,True,8,057217a0,"[1, 8]",spread,legalized,,0.5874729156494141,-11.563464164733887,2.0,1.25,0.15206083046127103,ranked,ranked:family_rank=4,4,0.15206083046127103,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r8_m1_m49_spread,m4b_region_repair,True,False,True,False,True,scored,1.03838312625885,-8.003325462341309,False,True,False,d6c202c5,6,True,8,057217a0,"[1, 49]",spread,legalized,,-2.5245285034179688,-8.003325462341309,2.0,2.0,0.16920942084627075,ranked,ranked:family_rank=8,8,0.16920942084627075,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m4b_r8_m1_m53_spread,m4b_region_repair,True,False,True,False,True,scored,1.038388729095459,-6.012087821960449,False,True,False,d7e547f3,6,True,8,057217a0,"[1, 53]",spread,legalized,,-2.738628387451172,-6.012087821960449,2.0,2.0,0.1788008782327867,ranked,ranked:family_rank=11,11,0.1788008782327867,,,,family=m4b_region_repair approx_null=False excluded
ibm01,m4d-default,m3b_c30_0_52_166_centroid_shift,m3b_cluster_refinement,True,False,True,False,True,scored,1.0384210348129272,,False,True,False,b88c29f2,5,True,,,,centroid_shift,,,,,,,,,,,,,,,family=m3b_cluster_refinement approx_null=True excluded
ibm01,m4d-default,original_line_search_m215_scale2p5x,original_line_search,True,False,True,False,True,scored,1.03843092918396,-7.575004577636719,False,True,False,6fbb7b99,3,True,,,,,,,,,,,,,,,,0.21052631578947367,0.389608569647547,54,family=original_line_search rank=5/20 percentile=0.210526
ibm01,m4d-default,m3a_p0_0_166_centroid_shift,m3a_pair_refinement,True,False,True,False,True,scored,1.0384329557418823,,False,True,False,3b465287,4,True,,,,centroid_shift,,,,,,,,,,,,,,,family=m3a_pair_refinement approx_null=True excluded
ibm01,m4d-default,original_refinement_m215_scale2x,original_refinement,True,False,True,False,True,scored,1.038435459136963,-6.059989929199219,False,True,False,007d0d86,2,True,,,,,,,,,,,,,,,,0.21476510067114093,0.6893747358050824,55,family=original_refinement rank=33/150 percentile=0.214765
ibm01,m4d-default,original_refinement_m215_tiny0p5um_m1_p0,original_refinement,True,False,True,False,True,scored,1.038435697555542,-6.0,False,True,False,ea712a12,2,True,,,,,,,,,,,,,,,,0.2214765100671141,0.6901270813773056,57,family=original_refinement rank=34/150 percentile=0.221477
ibm01,m4d-default,original_line_search_m215_scale1p25x,original_line_search,True,False,True,False,True,scored,1.038456916809082,-3.7874908447265625,False,True,False,4b098b61,3,True,,,,,,,,,,,,,,,,0.5263157894736842,0.7281386409886887,131,family=original_line_search rank=11/20 percentile=0.526316
ibm01,m4d-default,original_neighborhood_m215_left_s,original_neighborhood,True,False,True,False,True,scored,1.038459300994873,-3.0300064086914062,False,True,False,19514967,1,True,,,,left_s,,,,,,,,,,,,0.18181818181818182,0.6813047182775599,47,family=original_neighborhood rank=15/78 percentile=0.181818
ibm01,m4d-default,m3a_p0_0_166_swap,m3a_pair_refinement,True,False,True,False,True,scored,1.038464903831482,,False,True,False,3c5f1da3,4,True,,,,swap,,,,,,,,,,,,,,,family=m3a_pair_refinement approx_null=True excluded
ibm01,m4d-default,original_neighborhood_m215_toward_centroid,original_neighborhood,True,False,True,False,True,scored,1.0384721755981445,-4.126922607421875,False,True,False,6282cc49,1,True,,,,toward_centroid,,,,,,,,,,,,0.03896103896103896,0.6673229576801483,11,family=original_neighborhood rank=4/78 percentile=0.038961
